,lnEGDPpc2012,lnagr_land2012,lnurb_land2012,ln_perUrb_land2012,ln_tr400_pop2012,ln_pm25_2012,ln_land_temp2012
7,7.432122536059616,6.907755278982137,6.907755278982137,6.907755278982137,8.750509274637707,3.0891343236907987,5.694901872014137
8,7.441735130126096,6.926493379898582,6.980221753667093,6.908553892131459,10.104080213135457,3.0398903239586725,5.68756232777397
9,6.850262279917484,6.907755278982137,6.907755278982137,6.907755278982137,6.748672966955885,2.68593980277494,5.7036651360056245
10,8.537521023881768,6.921451838269961,6.920063933439361,6.908228308593995,9.52822012021624,2.946357307308403,5.693269019121421
11,8.238783412339151,6.911594854621526,6.916188774690606,6.908442691196773,8.683002450836625,2.9856252002323638,5.691239046484295
12,6.38348221539136,6.9298130526673365,6.915154092969959,6.9080050452385695,8.873821284257474,3.237981990353893,5.706685285318374
13,9.44110922770184,6.907755278982137,6.907755278982137,6.907755278982137,8.57511804035864,2.693755465308145,5.694409607063859
14,8.538408200630082,6.907755278982137,6.907755278982137,6.907755278982137,7.603242868646839,2.8637528372448826,5.694952626260341
15,7.204349799719355,6.964023376327794,6.918816712554055,6.9079164569605975,9.750871660985228,3.2749450821217265,5.702409708366904
16,8.261611076932777,6.907755278982137,6.907755278982137,6.907755278982137,8.754910491866829,2.95387277315643,5.7056881556488435
17,7.964167176886194,6.907755278982137,6.907755278982137,6.907755278982137,9.064752546049476,3.0180516615269015,5.698585873472662
18,7.844581266534991,7.864827661782317,8.706541311235693,6.908513647315274,12.468596435734296,3.0553811876070873,5.69594965973256
19,8.445872801545331,6.910081897768473,6.907755278982137,6.907755278982137,8.624700519023367,2.809015912571677,5.698669629427229
