asdf_id,onshore_petroleum_v12.none.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
136,0.0,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,0.0,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,0.0,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,0.0,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,0.0,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,0.0,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,0.0,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,0.0,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,0.0,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,0.0,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,0.0714962278462,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,0.0,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,0.0,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,0.0,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,0.0,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,0.0,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,0.0,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,0.0,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,0.0,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,0.0,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
