asdf_id,srtm_elevation_500m.none.mean,srtm_elevation_500m.none.max,srtm_elevation_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
137,4373.521195,5054,4043,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,4036.585774,4673,3158,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,4056.667162,5684,3786,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,3261.3821,4126,2714,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,2799.727992,3594,2704,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,3932.492397,4804,2770,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,3999.134232,4786,3577,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,4203.873865,4765,3888,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,4137.930275,5054,3864,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,190.3079559,237,134,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,170.4831551,205,124,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,166.2184355,190,138,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,4512.693369,5501,2923,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,4168.166894,4773,3933,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,4047.331712,4406,3320,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,3934.498076,4434,3849,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,2751.923252,4003,1626,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,3818.986895,5681,1154,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,3946.600385,4180,3815,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,3938.589611,4655,3828,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,3468.988614,4348,2197,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,3594.725433,6323,1633,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,3919.790703,4263,3276,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,4217.52591,5941,3857,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,3413.062639,5658,1160,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,3739.135572,4613,2526,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,3903.924522,4294,3815,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,4063.134609,4812,3813,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,3984.440602,4733,3815,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,3987.870538,4276,3815,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,4163.437229,5941,3812,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,3688.948474,4494,2123,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,2073.789822,4532,797,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,1995.778714,3585,1018,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,2671.089683,4621,1387,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,3080.099566,4486,1141,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,4040.868455,4581,3153,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,2345.59344,3550,912,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,1085.453268,2172,474,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,3176.373222,5941,515,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,3565.415892,6313,701,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,1580.744949,3372,506,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,3140.220982,4774,1440,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,2043.449616,6010,407,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,781.7224056,1898,280,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,1272.831045,3529,477,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,2859.097654,4995,728,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,3554.226812,4986,2803,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,4002.742807,4409,3815,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,2646.255137,4163,1494,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,3720.372825,4930,2974,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,3419.882122,4883,2744,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,3216.629709,4272,1745,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,2050.771895,3382,1303,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,1158.092787,1825,632,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,2187.367421,4951,601,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,1127.862698,2241,572,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,1516.817243,3382,839,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,4038.549658,4961,3208,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,3920.488787,4222,3815,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,1091.453332,1932,706,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,2277.335061,3152,1683,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,2577.805549,4116,1901,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
