system:index,agriculture,country,id,level,name,system:time_start,total_area,urban,year,.geo
2012_01_01_00000000000000000079,57.187511047855416,Bolivia,121,Admin2,Toko,1325376000000,59.063604125609636,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000007a,70.32354197763478,Bolivia,122,Admin2,Cuchumuela,1325376000000,72.9083646144945,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000007b,18.526596313786765,Bolivia,123,Admin2,Tacachi,1325376000000,18.835296080420726,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000007c,55.84704891832108,Bolivia,124,Admin2,Cliza,1325376000000,57.030334237810585,0.85584303125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000007d,555.4705753607847,Bolivia,125,Admin2,Tacopaya,1325376000000,585.5806959007587,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000080,286.0808416204044,Bolivia,128,Admin2,Santivañez,1325376000000,299.3634312211361,2.139595859375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000083,63.18835387181373,Bolivia,131,Admin2,Tolata,1325376000000,74.801190281593,1.497713859375,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_00000000000000000087,168.6429521286765,Bolivia,135,Admin2,Cochabamba,1325376000000,287.4403769648068,113.93584939319855,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000008c,186.9506184981005,Bolivia,140,Admin2,Arani,1325376000000,209.2316826567609,3.85128190625,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_0000000000000000008d,65.95745357610294,Bolivia,141,Admin2,Punata,1325376000000,86.78425739694306,19.4988179,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000a2,1547.3389085984056,Bolivia,162,Admin2,Tapacarí,1325376000000,1582.7517183520226,9.8421038125,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2012_01_01_000000000000000000ee,576.728580459743,Bolivia,238,Admin2,Bolívar,1325376000000,690.1211782383149,0.0,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
