asdf_id,globalsolaratlas_pvout.none.mean,globalsolaratlas_pvout.none.max,globalsolaratlas_pvout.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
106,4.81538540354,5.32700014114,4.09800004959,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,6.02997180946,6.13500022888,5.75699996948,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,6.10113596417,6.19799995422,5.6810002327,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,6.12637701439,6.20599985123,5.83900022507,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,5.65243589189,5.79799985886,5.53000020981,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,5.79172407104,5.81500005722,5.74900007248,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,5.73367920665,5.8639998436,5.49399995804,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,6.03906273478,6.17600011826,5.91099977493,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,5.89849810947,6.0640001297,5.48600006104,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,5.66021460552,5.83400011063,5.19000005722,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,5.34130784839,5.70800018311,4.76300001144,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,5.75190228519,5.97599983215,5.43400001526,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,5.27701296704,5.507999897,4.80399990082,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,5.32988217833,5.44199991226,5.01000022888,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,5.29260200496,5.44199991226,4.87300014496,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,5.44955914831,5.51399993896,5.37099981308,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,5.32266529415,5.40899991989,5.14400005341,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,5.37928287007,5.43699979782,5.28399991989,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,5.46264225823,5.50500011444,5.38199996948,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,5.38916808764,5.60400009155,4.9359998703,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,5.95331744565,6.03399991989,5.6859998703,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,5.97360641913,6.11299991608,5.52699995041,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,5.32770299453,5.42299985886,5.11899995804,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,5.64720608232,5.94600009918,5.34100008011,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,5.53662554824,5.65899991989,5.39300012589,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,5.30631736349,5.46700000763,5.03399991989,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,4.00011253335,4.01599979401,3.97799992561,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,5.78654333663,5.95699977875,5.54099988937,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,5.76107210735,5.94600009918,5.48099994659,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,5.30946048166,5.42600011826,4.75500011444,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,5.70949287944,6.00400018692,5.24499988556,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,5.7576611243,5.8860001564,5.54099988937,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,5.46139860622,5.67500019073,4.85900020599,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,5.83485422071,6.07499980927,5.18499994278,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,5.34040584814,5.44199991226,5.132999897,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,5.42501043109,5.507999897,5.19600009918,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,5.64115976769,5.89699983597,4.76300001144,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,5.6402769987,5.74900007248,5.21500015259,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,5.49870502138,5.66099977493,5.16300010681,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,5.74436683363,5.96500015259,5.52699995041,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,4.05951639288,4.11199998856,4.00500011444,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,4.07606309773,4.14699983597,4.03200006485,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,4.10071046212,4.22100019455,4.02099990845,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,4.98103841746,5.3140001297,4.36600017548,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,5.49699030993,5.59600019455,5.32499980927,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,5.60038405041,5.68300008774,5.09700012207,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,5.6117621542,5.6890001297,5.42600011826,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,4.17479869072,4.75500011444,3.38599991798,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,4.0696229021,5.08900022507,3.32100009918,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,5.55980710343,5.60900020599,5.53499984741,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,5.62805084566,5.76300001144,5.40100002289,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,5.37244909289,5.61999988556,5.01000022888,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,5.10450762564,5.59800004959,3.52600002289,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,5.60904945154,5.6890001297,5.37699985504,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,5.38538697008,5.67000007629,4.05700016022,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,3.68290918991,4.7389998436,2.49399995804,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,5.31698021281,5.54600000381,4.69999980927,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,5.87053371023,5.94899988174,5.73799991608,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,5.62231784384,5.882999897,5.20399999619,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
