asdf_id,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
220,473.6841645,1011,213,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,400.0678424,1220,66,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,245.127364,679,0,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,352.9993114,1076,109,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,620.3747799,1682,122,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,484.7858952,1539,140,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,735.0622237,1862,48,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,483.6224297,1630,18,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,1103.539773,2657,111,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,738.9486556,1850,98,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,180.2211564,494,82,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,221.7979879,573,65,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
232,631.7376032,1534,110,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,539.419434,1165,223,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,581.4775766,1527,226,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,441.0101638,1053,252,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,684.615776,1888,79,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
237,228.9533416,933,49,ADM3,237,237,BOL,BOL-ADM3-33444609B8469227,Huarina,ADM3
238,318.9538843,1086,38,ADM3,238,238,BOL,BOL-ADM3-33444609B76614989,Bolivar,ADM3
239,268.9384697,776,68,ADM3,239,239,BOL,BOL-ADM3-33444609B43692068,Chua Cocani,ADM3
240,437.1974854,875,156,ADM3,240,240,BOL,BOL-ADM3-33444609B78666461,Humanata,ADM3
241,776.9068497,2215,144,ADM3,241,241,BOL,BOL-ADM3-33444609B92881157,Villa Vaca Guzmán,ADM3
242,1145.931869,3293,31,ADM3,242,242,BOL,BOL-ADM3-33444609B42689736,Batallas,ADM3
243,620.5812871,1856,123,ADM3,243,243,BOL,BOL-ADM3-33444609B75760336,Padilla,ADM3
244,461.7089843,1147,103,ADM3,244,244,BOL,BOL-ADM3-33444609B69980236,Mojocoya,ADM3
245,435.3365175,1022,173,ADM3,245,245,BOL,BOL-ADM3-33444609B51772236,Pucará,ADM3
246,537.9793664,1175,146,ADM3,246,246,BOL,BOL-ADM3-33444609B69127220,Villa Serrano,ADM3
247,736.7655011,2290,110,ADM3,247,247,BOL,BOL-ADM3-33444609B12353677,Macharetí,ADM3
248,569.9210804,1803,178,ADM3,248,248,BOL,BOL-ADM3-33444609B47604355,Boyuibe,ADM3
249,420.094365,1097,212,ADM3,249,249,BOL,BOL-ADM3-33444609B96934473,Cuevo,ADM3
250,592.918139,1238,238,ADM3,250,250,BOL,BOL-ADM3-33444609B99493244,Camiri,ADM3
251,2363.903725,4405,51,ADM3,251,251,BOL,BOL-ADM3-33444609B83608870,Cocapata,ADM3
252,628.1326523,1680,142,ADM3,252,252,BOL,BOL-ADM3-33444609B53201147,Vallegrande,ADM3
