asdf_id,udel_air_temp_v501_mean.2012.max,udel_air_temp_v501_mean.2012.mean,udel_air_temp_v501_mean.2012.min,udel_air_temp_v501_mean.2013.max,udel_air_temp_v501_mean.2013.mean,udel_air_temp_v501_mean.2013.min,udel_air_temp_v501_mean.2014.max,udel_air_temp_v501_mean.2014.mean,udel_air_temp_v501_mean.2014.min,udel_air_temp_v501_mean.2015.max,udel_air_temp_v501_mean.2015.mean,udel_air_temp_v501_mean.2015.min,udel_air_temp_v501_mean.2016.max,udel_air_temp_v501_mean.2016.mean,udel_air_temp_v501_mean.2016.min,udel_air_temp_v501_mean.2017.max,udel_air_temp_v501_mean.2017.mean,udel_air_temp_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
50,9.73333333333,8.85736968556,7.70833333333,8.85833333333,7.84899250462,6.525,8.78333333333,7.68747757644,6.25,9.73333333333,8.82132179882,7.625,9.25,8.1829825525,6.78333333333,8.21666666667,7.07755344569,5.58333333333,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,20.2833333333,12.1071817859,7.825,20.2583333333,12.0286985819,7.73333333333,20.525,12.3112042839,8.0,20.6416666667,12.4200310514,8.1,20.9333333333,12.7554422518,8.46666666667,20.725,12.4390411723,8.10833333333,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,21.825,20.8080913855,17.7666666667,21.625,20.5647515038,17.375,21.8916666667,20.8957104453,17.775,22.1416666667,21.1055277736,18.0583333333,22.1916666667,21.0599504186,17.7333333333,22.1,20.9708669237,17.9833333333,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,21.825,20.4143375239,18.3833333333,21.625,20.1791989263,18.3416666667,21.8916666667,20.5222808002,18.5416666667,22.1416666667,20.7110256279,18.75,22.1916666667,20.6768605948,19.0416666667,22.1,20.5435304155,18.725,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,24.925,24.8095744699,23.1166666667,24.4583333333,24.343971633,22.6666666667,24.7333333333,24.6195035479,22.95,25.15,25.0356382997,23.3583333333,24.8416666667,24.7278368812,23.0583333333,25.1916666667,25.0757092217,23.375,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,26.1333333333,25.1644678802,24.925,25.6666666667,24.7019143726,24.4583333333,25.9916666667,24.98773112,24.7333333333,26.4583333333,25.4316671706,25.15,26.0166666667,25.0752944349,24.8416666667,26.4583333333,25.4382698733,25.1916666667,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,28.7833333333,26.4449611052,23.1583333333,28.5416666667,25.9700390012,22.775,28.8333333333,26.3297120889,23.125,29.05,26.6779247341,23.45,29.2166666667,26.5416220174,23.475,29.15,26.662595581,23.5583333333,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,27.075,26.7476167313,26.3,26.6083333333,26.3635028288,25.925,26.875,26.6762190683,26.25,27.4333333333,27.2234960898,26.825,27.0916666667,26.8785472531,26.45,27.25,27.0193784262,26.6083333333,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,26.2916666667,25.7484926526,25.5416666667,25.8666666667,25.3011332946,25.0666666667,26.225,25.6533404198,25.4083333333,26.6583333333,26.1543677544,25.9583333333,26.3666666667,25.7696014896,25.5,26.55,26.0187816099,25.7916666667,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,23.8,15.9732021952,14.8833333333,23.725,16.0298679527,14.9583333333,23.9583333333,16.1681093501,15.0833333333,24.1083333333,16.266906,15.175,24.425,16.7664417742,15.7,24.2666666667,16.3667212189,15.2666666667,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
