asdf_id,china_osm_v301_commitments_transport.none.sum,china_osm_v301_commitments_transport.none.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
196,NA,0.0,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,104225.79997068271,968.540039062,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,NA,0.0,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,NA,0.0,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,NA,0.0,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,NA,0.0,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,NA,0.0,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,NA,0.0,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,NA,0.0,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,NA,0.0,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,NA,0.0,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,NA,0.0,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,NA,0.0,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,4007.9299975149333,38.4100036621,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,5391.1400189790875,56.0099983215,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,12907008.946874022,13.4600000381,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,18871.169997652993,179.08001709,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,NA,0.0,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,10032.360004166141,94.0299987793,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,71598019.67024142,357.200012207,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,114479.4300001543,1064.16992188,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,NA,0.0,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,125321963.20572835,130.399993896,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,136494977.9099675,391.690002441,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,96860.67003419809,900.760009766,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,470521.3900441546,4356.83007812,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,237784.59003367834,2210.16992188,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,473922.1900593005,4378.90966797,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,396534.3701475691,3665.69970703,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,488018.07003903016,4497.39990234,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,3617.7100115157664,37.0299987793,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,253669.1602404099,2350.48974609,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,594187.3401648346,5472.12988281,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,328334.1600452997,3024.01000977,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,NA,0.0,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,NA,0.0,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
232,3575.2000047508627,33.7399978638,ADM3,232,232,BOL,BOL-ADM3-33444609B27408509,Chuquihuta Ayllu Jucumani,ADM3
233,223272.33008071594,2066.69995117,ADM3,233,233,BOL,BOL-ADM3-33444609B21368266,Bolpebra,ADM3
234,1062929.8500156738,9788.93945312,ADM3,234,234,BOL,BOL-ADM3-33444609B21491486,Filadelfia,ADM3
235,NA,0.0,ADM3,235,235,BOL,BOL-ADM3-33444609B19655093,Alto Beni,ADM3
236,50244.57011697255,21.3199996948,ADM3,236,236,BOL,BOL-ADM3-33444609B96037932,Caranavi,ADM3
237,NA,0.0,ADM3,237,237,BOL,BOL-ADM3-33444609B8469227,Huarina,ADM3
238,63531.74000622891,590.130004883,ADM3,238,238,BOL,BOL-ADM3-33444609B76614989,Bolivar,ADM3
239,NA,0.0,ADM3,239,239,BOL,BOL-ADM3-33444609B43692068,Chua Cocani,ADM3
240,NA,0.0,ADM3,240,240,BOL,BOL-ADM3-33444609B78666461,Humanata,ADM3
241,18601.290056303144,170.029998779,ADM3,241,241,BOL,BOL-ADM3-33444609B92881157,Villa Vaca Guzmán,ADM3
242,4639.169857250527,1.9399998188,ADM3,242,242,BOL,BOL-ADM3-33444609B42689736,Batallas,ADM3
243,284.489998716861,2.94999980927,ADM3,243,243,BOL,BOL-ADM3-33444609B75760336,Padilla,ADM3
244,2378.3800162747502,24.3699989319,ADM3,244,244,BOL,BOL-ADM3-33444609B69980236,Mojocoya,ADM3
245,63867.46003851853,594.199951172,ADM3,245,245,BOL,BOL-ADM3-33444609B51772236,Pucará,ADM3
