asdf_id,distance_to_coast_236.none.mean,distance_to_coast_236.none.max,distance_to_coast_236.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
182,400373.085502,425590.183836,373542.412609,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,379543.496696,416478.282656,338850.100125,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,468261.794728,490326.308149,444124.361674,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,281925.135117,291543.644166,271721.484637,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,583387.943241,604190.4297,561697.872243,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,481801.104584,498322.512813,468186.888378,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,495263.835475,513183.268952,467091.456153,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,535514.967523,567217.089324,505623.757346,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,613831.120347,628380.927564,598272.75454,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,675892.012503,697115.187619,658371.844325,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,381577.374192,409462.772166,351368.22531,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,634778.378201,659339.901992,609145.675873,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,633328.12368,660073.171471,603897.53856,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,464547.04301,486239.889551,440468.333863,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,285364.744366,291770.76398,280517.735379,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,679323.555983,691732.98215,668519.911489,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,606215.389419,617778.014718,597822.982166,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,589041.043483,605744.61754,576013.101029,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,567011.483011,580120.99971,554350.577277,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,516459.35207,528208.714666,503282.133712,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,536420.96726,553038.483115,523332.169219,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,597537.55408,611019.373715,585543.227127,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,470794.227544,483133.251474,455409.712741,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,555072.241148,572763.182277,538320.860561,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,577994.437326,588864.333665,563776.335822,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,372819.28552,402207.622422,347515.825571,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,378171.124,424899.522366,339078.044308,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,469194.983359,497255.835525,445185.579239,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,456193.252967,516687.904583,399201.565733,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,523564.049019,551244.350983,489048.79355,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,524633.494414,561789.054175,497986.142856,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,647302.763304,758158.121089,513494.996673,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,533714.136053,609395.181973,475422.565476,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,644388.603356,787348.086176,537230.090029,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,879761.791734,916579.76412,844011.569875,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,877501.260141,917470.112548,844051.546666,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,788049.764424,904696.239521,673458.17401,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,865477.993947,969018.801492,768260.7992,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,725623.292654,758863.362578,694293.76031,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
