asdf_id,map_pf_incidence_rate.2012.mean,map_pf_incidence_rate.2012.min,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2012.count,map_pf_incidence_rate.2013.mean,map_pf_incidence_rate.2013.min,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2013.count,map_pf_incidence_rate.2014.mean,map_pf_incidence_rate.2014.min,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2014.count,map_pf_incidence_rate.2015.mean,map_pf_incidence_rate.2015.min,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2015.count,map_pf_incidence_rate.2016.mean,map_pf_incidence_rate.2016.min,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2016.count,map_pf_incidence_rate.2017.mean,map_pf_incidence_rate.2017.min,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2017.count,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2018.min,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2018.count,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2019.min,map_pf_incidence_rate.2019.max,map_pf_incidence_rate.2019.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
34,2.29166156757e-06,1.97775236188e-07,1.10356577352e-05,98.4499969482,0.0,0.0,0.0,98.4499969482,1.40214118327e-06,7.75681030518e-08,7.79878610047e-06,98.4499969482,3.77391861264e-08,6.02371763581e-10,3.04690928488e-07,98.4499969482,2.0976097103e-09,2.35382009023e-11,1.96663307861e-08,98.4499969482,1.38843846792e-09,1.63915894746e-11,1.1671680511e-08,98.4499969482,0.0,0.0,0.0,98.4499969482,5.23422604513e-09,5.74368920481e-11,4.3629516e-08,98.4499969482,ADM3,34,34,BOL,BOL-ADM3-33444609B3665426,Samaipata,ADM3
35,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,0.0,0.0,0.0,199.089996338,ADM3,35,35,BOL,BOL-ADM3-33444609B75362770,San Lucas,ADM3
36,1.07736816143e-06,0.0,0.000117414369015,200.869995117,0.0,0.0,0.0,200.869995117,3.80671890627e-07,0.0,3.39529287885e-05,200.869995117,1.15568424571e-08,0.0,1.12648319828e-06,200.869995117,6.66101041626e-10,0.0,6.32968948366e-08,200.869995117,4.46319455494e-10,0.0,5.16654132809e-08,200.869995117,0.0,0.0,0.0,200.869995117,1.92462115054e-09,0.0,2.41146523194e-07,200.869995117,ADM3,36,36,BOL,BOL-ADM3-33444609B89526883,Culpina,ADM3
37,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,0.0,0.0,0.0,55.0799980164,ADM3,37,37,BOL,BOL-ADM3-33444609B77799107,Incahuasi,ADM3
38,0.00020462568657,8.49640309752e-06,0.0016318912385,84.0500030518,0.0,0.0,0.0,84.0500030518,0.000289820104104,6.06387629887e-06,0.00311188795604,84.0500030518,3.64684061891e-05,1.42105534451e-07,0.000695751514286,84.0500030518,2.9131047328e-06,6.55878595879e-09,6.69416622259e-05,84.0500030518,2.6846581274e-06,5.17582510184e-09,6.48582572467e-05,84.0500030518,0.0,0.0,0.0,84.0500030518,8.39231237572e-06,1.94582625568e-08,0.000198742374778,84.0500030518,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,0.0,0.0,0.0,73.4799957275,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,0.0,0.0,0.0,112.559997559,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,0.0,0.0,0.0,17.4799995422,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,0.0,0.0,0.0,923.969970703,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,0.0,0.0,0.0,20.7299995422,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
