asdf_id,gpw_v4_rev11_count.2015.sum,gpw_v4_rev11_count.2015.count,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
158,18605.4101562,908.770019531,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,32406.5097656,222.930023193,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,863735.375,433.070007324,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,8285.05175781,716.099975586,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,24623.234375,1939.83996582,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,7294.44921875,129.920013428,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,15772.6699219,1223.47998047,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,7001.68701172,238.569992065,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,6624.09130859,17.1900005341,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,57854.8046875,1547.47998047,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,3682.32177734,113.560005188,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,31437.7382812,1340.0300293,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,27335.9238281,854.729980469,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,2365.01318359,147.129989624,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,5642.36914062,288.940002441,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,10528.6044922,691.329956055,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,10933.1396484,2168.64990234,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
