asdf_id,globalwindatlas_powerdensity.none.mean,globalwindatlas_powerdensity.none.max,globalwindatlas_powerdensity.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
190,67.5648125119,712.405212402,0.367524713278,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,88.3963188595,888.18347168,2.03048062325,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,39.0803750304,562.8203125,0.00768436444923,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,52.813720582,605.622924805,1.82296037674,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,56.450243003,759.579650879,0.273996889591,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,104.261310531,1116.91638184,4.27836084366,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,104.947705998,627.753173828,23.6257724762,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,66.2537086067,610.110229492,2.62672328949,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,64.6818380577,529.588439941,6.80303812027,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,73.4896193739,688.554321289,3.51985192299,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,94.1702550048,773.387023926,1.74796926975,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,57.7690633648,585.147094727,1.59932363033,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,62.3012797777,530.755004883,2.15485239029,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,73.638475816,446.434356689,6.62240839005,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
