asdf_id,srtm_slope_500m.none.mean,srtm_slope_500m.none.max,srtm_slope_500m.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
101,8.38392715817,35.4870491028,0.0,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,3.39091994153,26.3619480133,0.0,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,5.15360712784,31.8514728546,0.0,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,9.50353383202,35.8480148315,0.078874759376,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
105,10.0202661065,30.8753395081,0.153131186962,ADM3,105,105,BOL,BOL-ADM3-33444609B72563416,Villa Abecia,ADM3
106,15.9500711414,37.2939414978,0.328135460615,ADM3,106,106,BOL,BOL-ADM3-33444609B32136747,Morochata,ADM3
107,7.06356053408,20.498374939,0.109379552305,ADM3,107,107,BOL,BOL-ADM3-33444609B11014199,Carangas,ADM3
108,1.27073994469,18.099199295,0.0,ADM3,108,108,BOL,BOL-ADM3-33444609B29831186,Yunguyo del Litoral,ADM3
109,1.34392888626,19.8488445282,0.0,ADM3,109,109,BOL,BOL-ADM3-33444609B64125054,Cruz de Machacamarca,ADM3
110,7.62593029447,22.3945522308,0.267027914524,ADM3,110,110,BOL,BOL-ADM3-33444609B44425060,Antequera,ADM3
111,0.491632494998,1.34294366837,0.0656277835369,ADM3,111,111,BOL,BOL-ADM3-33444609B30420791,Nazacara de Pacajes,ADM3
112,2.11239064291,18.5858802795,0.0,ADM3,112,112,BOL,BOL-ADM3-33444609B25496031,Caquiaviri,ADM3
113,0.558731158578,9.77025699615,0.0,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,1.4327009386,21.1776657104,0.0,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,6.42218397445,28.5200328827,0.030937243253,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,15.6272204071,37.1312980652,0.572529017925,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,4.09236629318,21.2801952362,0.0,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,11.6469718378,33.4134788513,0.0618744678795,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,6.72389747772,21.9073486328,0.364083230495,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,8.66286915572,29.6357822418,0.0618744678795,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,2.12515134592,10.7270717621,0.198094233871,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,7.48326527514,19.9644298553,0.650390386581,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
