asdf_id,gpw_v4_rev11_density.2015.count,gpw_v4_rev11_density.2015.mean,gpw_v4_rev11_density.2015.max,gpw_v4_rev11_density.2015.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
113,1332.76000977,2.10446899388,6.64420080185,2.01586818695,ADM3,113,113,BOL,BOL-ADM3-33444609B78062899,Belén de Andamarca,ADM3
114,4042.46972656,2.79984851334,4.28346824646,0.0,ADM3,114,114,BOL,BOL-ADM3-33444609B19215102,Corque,ADM3
115,2031.07006836,6.02408897528,15.678817749,5.33950996399,ADM3,115,115,BOL,BOL-ADM3-33444609B29766009,Vitiche,ADM3
116,560.719970703,22.9608829392,41.7120361328,12.018866539,ADM3,116,116,BOL,BOL-ADM3-33444609B50583695,Luribay,ADM3
117,407.560028076,37.4730744949,1039.70935059,0.0,ADM3,117,117,BOL,BOL-ADM3-33444609B61739549,Machacamarca,ADM3
118,482.470031738,10.7532379176,34.8163986206,9.42733287811,ADM3,118,118,BOL,BOL-ADM3-33444609B79352083,Arampampa,ADM3
119,246.209991455,21.1176293185,47.9695129395,7.39227294922,ADM3,119,119,BOL,BOL-ADM3-33444609B67664908,Sacabamba,ADM3
120,832.239990234,10.7792980991,109.283882141,9.32325839996,ADM3,120,120,BOL,BOL-ADM3-33444609B24659770,Anzaldo,ADM3
121,78.9799957275,103.472994328,323.105163574,10.4309663773,ADM3,121,121,BOL,BOL-ADM3-33444609B17865743,Toco,ADM3
122,92.2599945068,42.8546454572,111.045166016,7.78070402145,ADM3,122,122,BOL,BOL-ADM3-33444609B84509711,Villa Gualberto Villarroel,ADM3
123,26.2700004578,90.5874903342,111.258460999,41.7241249084,ADM3,123,123,BOL,BOL-ADM3-33444609B63808862,Tacachi,ADM3
124,71.1399993896,365.677013845,414.856689453,81.1507797241,ADM3,124,124,BOL,BOL-ADM3-33444609B45712919,Cliza,ADM3
125,729.719970703,17.3817819784,19.9425392151,9.16685676575,ADM3,125,125,BOL,BOL-ADM3-33444609B71410216,Tacopaya,ADM3
126,1300.54003906,10.0829929641,1039.70935059,0.0,ADM3,126,126,BOL,BOL-ADM3-33444609B34376575,El Choro,ADM3
127,3781.30004883,4.01969587054,10.4366855621,0.0,ADM3,127,127,BOL,BOL-ADM3-33444609B90107878,Toledo,ADM3
128,373.179992676,40.8515073303,2218.27172852,21.4121017456,ADM3,128,128,BOL,BOL-ADM3-33444609B16998103,Santivañez,ADM3
129,1809.59008789,17.7071314394,1039.70947266,9.16685676575,ADM3,129,129,BOL,BOL-ADM3-33444609B37510264,Paria,ADM3
130,134.080001831,46.2845707686,110.139717102,8.95139980316,ADM3,130,130,BOL,BOL-ADM3-33444609B66068349,Collana,ADM3
131,90.5800018311,81.425641956,390.805938721,67.5576019287,ADM3,131,131,BOL,BOL-ADM3-33444609B94491619,Tolata,ADM3
132,544.83001709,129.326474835,3550.96386719,1.70594084263,ADM3,132,132,BOL,BOL-ADM3-33444609B30727604,Cobija,ADM3
133,456.230010986,15.2282090933,18.8176689148,0.0,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,1471.89990234,5.75087354035,10.2420921326,1.38531792164,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,358.049987793,2207.38877308,2330.77832031,21.412103653,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,2936.77001953,15.9040780332,1039.70947266,0.0,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,649.790039062,6.17332788418,14.4636878967,2.05229783058,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,738.230041504,12.1937771594,23.2812175751,9.69617938995,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,4815.25976562,2.59106251564,9.90428733826,0.16844779253,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,256.789978027,43.4652245518,340.185638428,7.39227294922,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,108.660003662,303.71775465,414.8565979,29.771402359,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,2145.2800293,18.8744368564,41.7120399475,0.0,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,691.16003418,38.6131611338,41.7120399475,9.10034275055,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,423.619995117,33.0890228293,55.990196228,8.95139980316,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,1609.16992188,3.94047674083,14.4636878967,1.15396285057,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,9040.24121094,1.5628132315,1.67473077774,0.290883511305,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,3802.93994141,3.05840479411,8.28637313843,0.31462174654,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,11472.6005859,0.948959411402,3.19413161278,0.0,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,435.059997559,16.6155627127,23.2945823669,9.69617938995,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,558.400024414,10.5176743639,110.139717102,8.95139884949,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,593.979980469,25.9941321251,110.139724731,15.047000885,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,1045.85998535,113.494619473,2631.39770508,8.95139980316,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,244.990005493,33.8328375352,44.328212738,4.39122104645,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,1230.04003906,10.2985078032,43.5904502869,4.39122104645,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,25.1200008392,145.853446109,156.898880005,0.0,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,852.549926758,46.3533304349,2627.00976562,16.2618713379,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,647.650024414,34.4164825223,126.257820129,15.047000885,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,908.770019531,25.2621559769,381.876831055,13.093547821,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,222.930023193,188.926578137,2631.39794922,25.3569583893,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,433.070007324,2461.64094502,2631.3984375,31.8263282776,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,716.099975586,14.5674157624,358.095397949,12.4500112534,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,1939.83996582,15.702247515,93.5963439941,11.1352033615,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,129.920013428,81.5481979884,200.489700317,0.0,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,1223.47998047,16.0759020921,109.471237183,0.0,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,238.569992065,36.8905274373,86.5275268555,0.0,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,17.1900005341,594.388473875,656.449890137,0.0,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,1547.47998047,48.3675834405,2631.39770508,16.8943691254,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,113.560005188,40.2841302667,64.9179153442,12.0341901779,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,1340.0300293,29.3305276689,381.876831055,12.450012207,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
