asdf_id,dist_to_groads.none.mean,dist_to_groads.none.max,dist_to_groads.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
172,5265.16384197,11578.6622969,0.0,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,3868.43803242,10062.2159243,0.0,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,6501.83345089,20686.0862274,0.0,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,1760.18315994,7239.63875727,0.0,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,8129.68156187,24276.3581427,0.0,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,2478.80501798,9256.58325738,0.0,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,16479.6038399,37941.7944407,0.0,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,3153.70482074,10860.9284589,0.0,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,4962.22252407,18509.175215,0.0,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,6656.64260539,20429.047222,0.0,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,4547.15238722,14494.9990372,0.0,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,3618.55694377,13386.5187052,0.0,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,3265.42346558,11168.5929827,0.0,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,8258.23678305,27753.5869907,0.0,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,4268.91618549,15707.3443454,0.0,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,5690.61557989,13787.6843076,0.0,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,4929.89027804,13787.6843076,0.0,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,7745.53824271,22707.5551544,0.0,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,11078.9018403,23725.0758385,0.0,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,6102.54022369,17655.5105601,0.0,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,2381.5438423,10724.1077653,0.0,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,4097.14678784,13358.52,0.0,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,7035.38410127,23725.0758385,0.0,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,3710.30938514,12234.6345092,0.0,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,8582.12873864,14471.73,1541.74253378,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
