asdf_id,dist_to_water.none.mean,dist_to_water.none.max,dist_to_water.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
133,7768.24339139,19686.203995,0.0,ADM3,133,133,BOL,BOL-ADM3-33444609B21077453,Eucaliptus,ADM3
134,10939.7409759,30321.3438226,0.0,ADM3,134,134,BOL,BOL-ADM3-33444609B28630051,Santiago de Callapa,ADM3
135,22197.4492729,37966.3730531,10355.3537859,ADM3,135,135,BOL,BOL-ADM3-33444609B41741681,Cochabamba,ADM3
136,23420.739839,52529.0545287,0.0,ADM3,136,136,BOL,BOL-ADM3-33444609B22900187,Caracollo,ADM3
137,70326.4431118,88345.6606206,55329.8240682,ADM3,137,137,BOL,BOL-ADM3-33444609B21007182,Catacora,ADM3
138,39171.5342021,54635.9971508,22254.9793688,ADM3,138,138,BOL,BOL-ADM3-33444609B25632649,Yaco,ADM3
139,28900.3234878,87526.7008474,0.0,ADM3,139,139,BOL,BOL-ADM3-33444609B93045845,Calacoto,ADM3
140,41854.9549511,51090.8691578,34040.2461465,ADM3,140,140,BOL,BOL-ADM3-33444609B26131324,Arani,ADM3
141,37938.8466188,46529.1932365,30376.1851372,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,21541.3444333,50217.5521071,0.0,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,30972.3678004,46266.9888147,18258.2652658,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,47225.1782571,63813.8019321,34979.1768601,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,47239.5021565,80711.0967101,17892.2444452,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,21512.7915416,61068.349358,0.0,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,6805.51332475,21378.4819355,0.0,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,60037.373142,107875.837849,22810.1410724,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,44033.7952141,58122.9290266,30826.7904138,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,32700.9023386,43523.7365761,21273.4782409,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,62200.6899268,76215.047832,46713.9416421,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,49898.7979381,67275.3330268,33800.0802796,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
