asdf_id,udel_precip_v501_mean.2012.max,udel_precip_v501_mean.2012.mean,udel_precip_v501_mean.2012.min,udel_precip_v501_mean.2013.max,udel_precip_v501_mean.2013.mean,udel_precip_v501_mean.2013.min,udel_precip_v501_mean.2014.max,udel_precip_v501_mean.2014.mean,udel_precip_v501_mean.2014.min,udel_precip_v501_mean.2015.max,udel_precip_v501_mean.2015.mean,udel_precip_v501_mean.2015.min,udel_precip_v501_mean.2016.max,udel_precip_v501_mean.2016.mean,udel_precip_v501_mean.2016.min,udel_precip_v501_mean.2017.max,udel_precip_v501_mean.2017.mean,udel_precip_v501_mean.2017.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
38,289.808333333,203.975727983,132.783333333,262.733333333,174.762151664,102.025,308.541666667,216.039547504,141.775,276.691666667,189.020286915,116.4,253.966666667,171.713358262,102.358333333,296.858333333,211.313633794,141.4,ADM3,38,38,BOL,BOL-ADM3-33444609B36544235,San Juan,ADM3
39,59.8333333333,47.0283030684,41.9166666667,47.275,38.1034343621,33.1583333333,50.9,39.7752507388,34.6333333333,42.2083333333,32.8588027409,28.7666666667,28.675,20.6815188941,16.0166666667,45.3,33.1343566871,27.025,ADM3,39,39,BOL,BOL-ADM3-33444609B69045844,Tinguipaya,ADM3
40,59.8333333333,57.4043980971,47.775,47.275,44.1568145237,36.2333333333,51.5166666667,51.1197791421,40.0083333333,42.2083333333,40.9837203816,32.5,28.675,27.8666385016,17.5833333333,45.3,43.8420600942,31.8583333333,ADM3,40,40,BOL,BOL-ADM3-33444609B29777572,San Pedro,ADM3
41,79.75,79.75,79.75,74.5916666667,74.5916666667,74.5916666667,85.0,85.0,85.0,81.0333333333,81.0333333333,81.0333333333,67.6083333333,67.6083333333,67.6083333333,79.0833333333,79.0833333333,79.0833333333,ADM3,41,41,BOL,BOL-ADM3-33444609B4195370,Villa Ancoraimes,ADM3
42,22.6333333333,11.8402049784,3.59166666667,19.9916666667,10.2202911943,3.34166666667,20.4666666667,10.8218808446,3.18333333333,19.0083333333,8.92611941357,3.25833333333,16.7833333333,6.30644430198,2.56666666667,18.3416666667,8.19189521885,2.75,ADM3,42,42,BOL,BOL-ADM3-33444609B80268637,"Colcha ""K""",ADM3
43,79.75,79.1277777992,78.35,74.5916666667,71.0509260481,66.625,85.0,81.3703704956,76.8333333333,81.0333333333,77.4296297539,72.925,67.6083333333,66.6231481821,65.3916666667,79.0833333333,73.8129631448,67.225,ADM3,43,43,BOL,BOL-ADM3-33444609B33602201,Puerto Mayor de Carabuco,ADM3
44,33.3083333333,26.4616345203,17.2666666667,30.7666666667,24.6394250336,16.2166666667,30.7,24.5717939081,16.45,28.875,23.4533019294,16.0333333333,21.0166666667,18.7871351276,14.2333333333,27.4583333333,22.5932765836,15.9583333333,ADM3,44,44,BOL,BOL-ADM3-33444609B55181457,Sabaya,ADM3
45,331.45,226.314791182,177.383333333,310.608333333,197.372991363,143.066666667,349.858333333,258.212870071,219.608333333,323.0,210.855387735,155.7,298.583333333,181.794285373,126.366666667,338.125,237.952807496,193.933333333,ADM3,45,45,BOL,BOL-ADM3-33444609B74955412,Loreto,ADM3
46,68.25,30.5420850588,12.375,64.1166666667,26.3766493736,10.1083333333,66.1833333333,27.371432075,12.1416666667,60.5333333333,22.5227297523,7.975,52.775,14.5921099724,2.83333333333,60.4916666667,20.9732346064,7.00833333333,ADM3,46,46,BOL,BOL-ADM3-33444609B79735413,Tomave,ADM3
47,58.1,50.8321639181,42.1666666667,53.1583333333,45.7612574884,36.9416666667,53.7666666667,46.3239767878,37.45,47.6083333333,40.6597954893,32.375,37.5083333333,30.2366960819,21.5666666667,47.1083333333,39.342544047,30.0833333333,ADM3,47,47,BOL,BOL-ADM3-33444609B50648219,Porco,ADM3
48,61.0083333333,48.9587516933,39.6833333333,46.8,36.5531328807,30.2166666667,73.4916666667,60.8222071463,53.4,66.4583333333,48.3754516768,33.175,65.7666666667,52.5793524873,41.5166666667,65.9666666667,52.4506078605,42.2833333333,ADM3,48,48,BOL,BOL-ADM3-33444609B43551685,Villa Montes,ADM3
49,58.1,49.733425326,41.9166666667,53.1583333333,42.923919124,33.1583333333,53.7666666667,43.9700103673,34.6333333333,47.6083333333,37.6628365428,28.7666666667,37.5083333333,26.501026305,16.0166666667,47.1083333333,37.2023951033,27.025,ADM3,49,49,BOL,BOL-ADM3-33444609B55738046,Yocalla,ADM3
50,42.1666666667,42.0248103269,41.9166666667,36.9416666667,34.7949073913,33.1583333333,37.45,35.8517519051,34.6333333333,32.375,30.3275401625,28.7666666667,21.5666666667,18.4174559235,16.0166666667,30.0833333333,28.3479574433,27.025,ADM3,50,50,BOL,BOL-ADM3-33444609B4133228,Urmiri,ADM3
51,83.225,76.3443719631,70.075,79.3916666667,66.6826308465,57.3166666667,95.2833333333,80.3999375383,73.5416666667,91.2416666667,75.1445599222,66.225,72.7083333333,63.8475679987,56.7416666667,81.8833333333,68.6697662275,59.2166666667,ADM3,51,51,BOL,BOL-ADM3-33444609B8281684,Mocomoco,ADM3
52,90.1833333333,67.3526873184,48.25,68.2166666667,48.097489938,30.875,88.0166666667,63.3605792777,45.8416666667,71.5,48.2646570767,31.8,60.9083333333,38.8270941466,23.1333333333,89.6666666667,65.7005731556,48.55,ADM3,52,52,BOL,BOL-ADM3-33444609B21235771,Saipina,ADM3
53,90.1833333333,60.4007368337,48.65,68.2166666667,42.0059319111,32.3416666667,88.0166666667,55.5495615382,41.15,71.5,41.0223332352,28.6666666667,60.9083333333,31.9385745809,19.9416666667,89.6666666667,57.5584073133,40.3166666667,ADM3,53,53,BOL,BOL-ADM3-33444609B25995685,Omereque,ADM3
54,83.2083333333,82.7163120645,75.5,56.2833333333,55.914184403,50.5,93.95,93.1500000127,81.4166666667,70.775,70.1622340523,61.175,56.5,55.9819149018,48.3833333333,99.0666666667,98.2618794454,86.4583333333,ADM3,54,54,BOL,BOL-ADM3-33444609B55124296,Porongo,ADM3
55,83.2083333333,77.6192276798,65.3583333333,56.2833333333,53.3169682384,50.8,93.95,91.2930123686,81.4083333333,70.775,66.3082402363,59.5833333333,56.5,52.0719980926,48.2,99.0666666667,95.4992521305,82.925,ADM3,55,55,BOL,BOL-ADM3-33444609B6878387,Santa Cruz de la Sierra,ADM3
56,331.45,200.845877194,134.9,310.608333333,181.717857269,136.808333333,349.858333333,225.197683401,154.975,323.0,196.222625627,142.158333333,298.583333333,164.723874946,118.141666667,338.125,208.402610998,143.441666667,ADM3,56,56,BOL,BOL-ADM3-33444609B3318455,San Ignacio,ADM3
57,188.308333333,160.50620977,142.733333333,152.375,146.167916673,130.516666667,239.908333333,189.904797851,158.166666667,164.833333333,142.765602448,125.558333333,134.541666667,120.183991851,105.958333333,213.641666667,169.728992374,143.716666667,ADM3,57,57,BOL,BOL-ADM3-33444609B8905284,San Javier,ADM3
58,289.808333333,141.568714354,90.6333333333,262.733333333,109.854471471,58.425,308.541666667,154.29434777,100.733333333,276.691666667,123.495586754,69.7416666667,253.966666667,106.423275566,54.65,296.858333333,145.675158871,91.2916666667,ADM3,58,58,BOL,BOL-ADM3-33444609B2142879,San Pedro,ADM3
59,107.508333333,90.6916901996,88.35,106.225,85.8972700005,83.0666666667,114.225,91.6589521237,88.5166666667,109.816666667,86.9068248681,83.7166666667,92.9166666667,74.3005915142,71.7083333333,110.458333333,88.7334833519,85.7083333333,ADM3,59,59,BOL,BOL-ADM3-33444609B87038976,Cajuata,ADM3
60,107.508333333,88.3662806443,42.575,106.225,82.0346082623,36.4583333333,115.233333333,91.3611548821,39.9583333333,109.816666667,84.0122150827,34.4666666667,92.9166666667,70.3310170486,22.55,110.458333333,85.7117113534,34.625,ADM3,60,60,BOL,BOL-ADM3-33444609B59519836,Inquisivi,ADM3
