asdf_id,ambient_air_pollution_2013_o3.2012.mean,ambient_air_pollution_2013_o3.2011.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
141,58.13474516,57.45435747,ADM3,141,141,BOL,BOL-ADM3-33444609B3757470,Punata,ADM3
142,53.01176673,52.64122906,ADM3,142,142,BOL,BOL-ADM3-33444609B21151286,Sicasica,ADM3
143,52.96692381,52.58328279,ADM3,143,143,BOL,BOL-ADM3-33444609B32005482,Patacamaya,ADM3
144,52.38338111,51.96952114,ADM3,144,144,BOL,BOL-ADM3-33444609B19082627,Colquencha,ADM3
145,56.45343967,56.15456422,ADM3,145,145,BOL,BOL-ADM3-33444609B96911206,Santiago de Machaca,ADM3
146,56.47355838,55.33223515,ADM3,146,146,BOL,BOL-ADM3-33444609B58600296,Sena,ADM3
147,59.64531429,58.38869652,ADM3,147,147,BOL,BOL-ADM3-33444609B26946399,San Lorenzo,ADM3
148,59.8988142,58.79127559,ADM3,148,148,BOL,BOL-ADM3-33444609B90312020,Santa Rosa,ADM3
149,52.71021393,52.24245635,ADM3,149,149,BOL,BOL-ADM3-33444609B20955158,Malla,ADM3
150,52.2475858,51.84226479,ADM3,150,150,BOL,BOL-ADM3-33444609B91729130,Comanche,ADM3
151,51.85609441,51.40872848,ADM3,151,151,BOL,BOL-ADM3-33444609B41933053,Calamarca,ADM3
152,51.11282033,50.65691451,ADM3,152,152,BOL,BOL-ADM3-33444609B85812802,Viacha,ADM3
153,53.5954594,53.05430613,ADM3,153,153,BOL,BOL-ADM3-33444609B79205479,Villa Libertad Licoma,ADM3
154,52.94060989,52.42658327,ADM3,154,154,BOL,BOL-ADM3-33444609B66902866,Quime,ADM3
155,49.8910475,49.4029364,ADM3,155,155,BOL,BOL-ADM3-33444609B98511044,Huatajata,ADM3
156,50.56693191,50.10247958,ADM3,156,156,BOL,BOL-ADM3-33444609B79531063,Laja,ADM3
157,51.48701903,50.99713337,ADM3,157,157,BOL,BOL-ADM3-33444609B83826918,Mecapaca,ADM3
158,51.67110533,51.16183351,ADM3,158,158,BOL,BOL-ADM3-33444609B56483619,Palca,ADM3
159,51.11716327,50.63214693,ADM3,159,159,BOL,BOL-ADM3-33444609B1863080,Achocalla,ADM3
160,50.78380775,50.28752183,ADM3,160,160,BOL,BOL-ADM3-33444609B30011805,El Alto,ADM3
161,51.72449333,51.18908874,ADM3,161,161,BOL,BOL-ADM3-33444609B40374901,Yanacachi,ADM3
162,53.86188167,53.38184266,ADM3,162,162,BOL,BOL-ADM3-33444609B99579203,Tapacarí,ADM3
163,52.41637725,51.99487461,ADM3,163,163,BOL,BOL-ADM3-33444609B26061868,Desaguadero,ADM3
164,51.59023135,51.16422264,ADM3,164,164,BOL,BOL-ADM3-33444609B81723104,Jesús de Machaka,ADM3
165,51.25365362,50.81518151,ADM3,165,165,BOL,BOL-ADM3-33444609B3928389,Puerto Mayor de Guaqui,ADM3
166,50.94422913,50.47999954,ADM3,166,166,BOL,BOL-ADM3-33444609B83959891,Tito Yupanqui,ADM3
167,50.35952482,49.87045428,ADM3,167,167,BOL,BOL-ADM3-33444609B86182822,Pucarani,ADM3
168,49.29313471,48.7684866,ADM3,168,168,BOL,BOL-ADM3-33444609B86015105,Combaya,ADM3
169,52.08722346,51.51341844,ADM3,169,169,BOL,BOL-ADM3-33444609B70122176,Coroico,ADM3
170,52.52862924,51.95195965,ADM3,170,170,BOL,BOL-ADM3-33444609B52332460,Coripata,ADM3
171,49.06277593,48.51976417,ADM3,171,171,BOL,BOL-ADM3-33444609B75079070,Quiabaya,ADM3
172,49.02486482,48.47310641,ADM3,172,172,BOL,BOL-ADM3-33444609B51912538,Aucapata,ADM3
173,52.59493436,52.18354865,ADM3,173,173,BOL,BOL-ADM3-33444609B77019342,Ayo Ayo,ADM3
174,54.10619568,53.62990388,ADM3,174,174,BOL,BOL-ADM3-33444609B52543177,Azurduy,ADM3
175,51.55577693,50.9370477,ADM3,175,175,BOL,BOL-ADM3-33444609B93497004,Tipuani,ADM3
176,51.58082034,51.02262628,ADM3,176,176,BOL,BOL-ADM3-33444609B95766629,Nuestra Señora de La Paz,ADM3
177,49.55335925,49.00229205,ADM3,177,177,BOL,BOL-ADM3-33444609B93873258,Sorata,ADM3
178,54.55136446,53.93666985,ADM3,178,178,BOL,BOL-ADM3-33444609B25803532,La Asunta,ADM3
179,49.34112713,48.81540453,ADM3,179,179,BOL,BOL-ADM3-33444609B88180595,Chuma,ADM3
180,51.54792713,50.94527675,ADM3,180,180,BOL,BOL-ADM3-33444609B33390960,Guanay,ADM3
181,53.20121066,52.53397063,ADM3,181,181,BOL,BOL-ADM3-33444609B45650655,Teoponte,ADM3
182,50.50326645,49.9021311,ADM3,182,182,BOL,BOL-ADM3-33444609B90372031,Mapiri,ADM3
183,49.16559267,48.59786967,ADM3,183,183,BOL,BOL-ADM3-33444609B50407902,Charazani,ADM3
184,57.61541725,57.37035393,ADM3,184,184,BOL,BOL-ADM3-33444609B73754741,"Caiza ""D""",ADM3
185,51.8022338,51.35700497,ADM3,185,185,BOL,BOL-ADM3-33444609B22177467,Copacabana,ADM3
186,55.06994308,54.55742294,ADM3,186,186,BOL,BOL-ADM3-33444609B65808761,Tarvita,ADM3
187,56.36241074,56.06927205,ADM3,187,187,BOL,BOL-ADM3-33444609B42666607,Chaquí,ADM3
188,56.56177916,56.25831633,ADM3,188,188,BOL,BOL-ADM3-33444609B15997979,Puna,ADM3
189,55.45502271,55.02784624,ADM3,189,189,BOL,BOL-ADM3-33444609B30593293,Ckochas,ADM3
190,56.11732464,55.55309155,ADM3,190,190,BOL,BOL-ADM3-33444609B60642341,El Villar,ADM3
191,56.00979728,55.40998689,ADM3,191,191,BOL,BOL-ADM3-33444609B90845226,Huacaya,ADM3
192,49.35149225,48.78361077,ADM3,192,192,BOL,BOL-ADM3-33444609B27309972,Tacacoma,ADM3
193,54.91254393,54.37959958,ADM3,193,193,BOL,BOL-ADM3-33444609B13482689,Huacareta,ADM3
194,56.04143188,55.47569039,ADM3,194,194,BOL,BOL-ADM3-33444609B9106763,Monteagudo,ADM3
195,56.47390575,56.18808519,ADM3,195,195,BOL,BOL-ADM3-33444609B51923126,Potosí,ADM3
196,50.64600486,50.18197281,ADM3,196,196,BOL,BOL-ADM3-33444609B67965715,San Pedro de Tiquina,ADM3
197,58.18983213,57.5301165,ADM3,197,197,BOL,BOL-ADM3-33444609B6445025,Lagunillas,ADM3
198,56.35138475,55.7768808,ADM3,198,198,BOL,BOL-ADM3-33444609B92818499,Alcalá,ADM3
199,55.8106148,55.26311447,ADM3,199,199,BOL,BOL-ADM3-33444609B9397800,Sopachui,ADM3
200,55.58906101,55.07008302,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,55.87829088,55.44932903,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,56.02965273,55.5468631,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,57.1574843,56.55165994,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,55.22484534,54.80451865,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,56.54387082,55.99528686,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,56.89928392,56.31295874,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,48.80560823,48.24872829,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,48.153179,47.6029559,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,54.97093987,54.28611411,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,51.08086485,50.40984672,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,55.32537593,54.52600261,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
212,53.43945601,52.66330626,ADM3,212,212,BOL,BOL-ADM3-33444609B85439426,San Buenaventura,ADM3
213,63.19113141,62.09041268,ADM3,213,213,BOL,BOL-ADM3-33444609B23560373,Santa Ana,ADM3
214,57.65327098,56.84629709,ADM3,214,214,BOL,BOL-ADM3-33444609B36751060,San Borja,ADM3
215,57.61181448,56.59659446,ADM3,215,215,BOL,BOL-ADM3-33444609B13357475,Reyes,ADM3
216,61.95729092,60.6020337,ADM3,216,216,BOL,BOL-ADM3-33444609B85003487,Puerto Gonzalo Moreno,ADM3
217,70.80214742,69.20363879,ADM3,217,217,BOL,BOL-ADM3-33444609B80291858,Puerto Siles,ADM3
218,65.46447841,64.11280135,ADM3,218,218,BOL,BOL-ADM3-33444609B10458910,Exaltación,ADM3
219,63.35649193,61.97645511,ADM3,219,219,BOL,BOL-ADM3-33444609B93314585,Riberalta,ADM3
220,49.99554411,49.05087196,ADM3,220,220,BOL,BOL-ADM3-33444609B95419155,Porvenir,ADM3
221,55.10432005,53.92638776,ADM3,221,221,BOL,BOL-ADM3-33444609B83803279,Bella Flor,ADM3
222,60.93695843,59.59994484,ADM3,222,222,BOL,BOL-ADM3-33444609B11509981,San Pedro,ADM3
223,56.0905088,54.9204622,ADM3,223,223,BOL,BOL-ADM3-33444609B55981723,Puerto Rico,ADM3
224,58.34493651,57.04695026,ADM3,224,224,BOL,BOL-ADM3-33444609B45825141,Santa Rosa,ADM3
225,60.44441821,59.09492689,ADM3,225,225,BOL,BOL-ADM3-33444609B53699713,Ingavi,ADM3
226,66.89455753,65.35931392,ADM3,226,226,BOL,BOL-ADM3-33444609B93580112,Guayaramerín,ADM3
227,63.11962005,61.68226308,ADM3,227,227,BOL,BOL-ADM3-33444609B33507653,Villa Nueva,ADM3
228,62.27681913,60.84384057,ADM3,228,228,BOL,BOL-ADM3-33444609B15181859,Santos Mercado,ADM3
229,64.51828948,62.9825106,ADM3,229,229,BOL,BOL-ADM3-33444609B91423379,Nueva Esperanza,ADM3
230,50.09926749,49.61509575,ADM3,230,230,BOL,BOL-ADM3-33444609B41664570,Santiago de Huata,ADM3
231,50.13295495,49.65845927,ADM3,231,231,BOL,BOL-ADM3-33444609B7909722,Puerto Pérez,ADM3
