asdf_id,distance_to_drugdata_201708.none.mean,distance_to_drugdata_201708.none.max,distance_to_drugdata_201708.none.min,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
90,12879.0029388,33447.6266142,0.0,ADM3,90,90,BOL,BOL-ADM3-33444609B38843317,Portachuelo,ADM3
91,511660.122857,560637.380356,471662.305786,ADM3,91,91,BOL,BOL-ADM3-33444609B37744367,San Antonio de Esmoruco,ADM3
92,440437.640262,456559.900869,424664.993742,ADM3,92,92,BOL,BOL-ADM3-33444609B1106358,Uriondo,ADM3
93,474119.114534,486270.087499,462996.02968,ADM3,93,93,BOL,BOL-ADM3-33444609B85745690,Mojinete,ADM3
94,456895.541549,491441.638591,423261.902518,ADM3,94,94,BOL,BOL-ADM3-33444609B87243497,Yacuiba,ADM3
95,450621.159476,483237.023261,416511.195717,ADM3,95,95,BOL,BOL-ADM3-33444609B234644,Yunchará,ADM3
96,449145.321626,505101.288161,396011.283883,ADM3,96,96,BOL,BOL-ADM3-33444609B75965900,Caraparí,ADM3
97,383939.032343,424609.926309,350567.063974,ADM3,97,97,BOL,BOL-ADM3-33444609B88496650,San Lorenzo,ADM3
98,392591.978581,429208.455084,357176.896085,ADM3,98,98,BOL,BOL-ADM3-33444609B59853279,El Puente,ADM3
99,76062.1018657,90226.9287448,59122.7557634,ADM3,99,99,BOL,BOL-ADM3-33444609B34120572,Toro Toro,ADM3
100,483112.936421,507223.654136,449514.367732,ADM3,100,100,BOL,BOL-ADM3-33444609B63002823,San Agustín,ADM3
101,419534.78155,452737.288022,383084.219846,ADM3,101,101,BOL,BOL-ADM3-33444609B48940768,Tarija,ADM3
102,397560.511839,446657.042865,328030.938885,ADM3,102,102,BOL,BOL-ADM3-33444609B83584775,Tahua,ADM3
103,544140.83594,640401.219177,426337.894652,ADM3,103,103,BOL,BOL-ADM3-33444609B12022744,San Pablo,ADM3
104,398668.151794,423630.557856,372173.390982,ADM3,104,104,BOL,BOL-ADM3-33444609B6650687,Las Carreras,ADM3
