system:index,country,id,level,name,system:time_start,total_volume,year,.geo
2015_00000000000000000086,Bolivia,134,Admin2,Callapa,1420070400000,1105129.1294117647,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000089,Bolivia,137,Admin2,Catacora,1420070400000,235124.0156862745,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000008a,Bolivia,138,Admin2,Yaco,1420070400000,498047.0941176471,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000008b,Bolivia,139,Admin2,Calacoto,1420070400000,1725123.768627451,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000008e,Bolivia,142,Admin2,Sica Sica,1420070400000,3511302.5372549016,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000008f,Bolivia,143,Admin2,Patacamaya,1420070400000,8310020.278431372,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000090,Bolivia,144,Admin2,Colquencha,1420070400000,1958455.1882352938,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000091,Bolivia,145,Admin2,Santiago de Machaca,1420070400000,1356871.91372549,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000095,Bolivia,149,Admin2,Malla,1420070400000,148067.6666666667,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000096,Bolivia,150,Admin2,Comanche,1420070400000,782649.305882353,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000097,Bolivia,151,Admin2,Calamarca,1420070400000,1337503.9411764706,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000098,Bolivia,152,Admin2,Viacha,1420070400000,3.2120613811764695E7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_00000000000000000099,Bolivia,153,Admin2,Villa Libertad Licoma,1420070400000,227780.4705882353,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000009a,Bolivia,154,Admin2,Quime,1420070400000,823541.2862745099,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000009b,Bolivia,155,Admin2,Huatajata,1420070400000,343241.89803921565,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000009c,Bolivia,156,Admin2,Laja,1420070400000,5285640.180392156,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000009d,Bolivia,157,Admin2,Mecapaca,1420070400000,4371831.070588235,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000009e,Bolivia,158,Admin2,Palca,1420070400000,1207216.7019607844,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_0000000000000000009f,Bolivia,159,Admin2,Achocalla,1420070400000,7169149.184313726,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
