asdf_id,ambient_air_pollution_2013_fus_calibrated.2012.mean,surface_pm25_annual_v5gl03.2012.mean,modis_lst_mod11c3_061_day_annual_mean.2012.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
200,6.53451932601,20.7724826758,296.550885422,ADM3,200,200,BOL,BOL-ADM3-33444609B74292684,Villa Ricardo Mugia - Icla,ADM3
201,5.78345971551,17.0211398364,299.223347522,ADM3,201,201,BOL,BOL-ADM3-33444609B38543160,Yotala,ADM3
202,5.94431700041,18.0295239733,300.118792179,ADM3,202,202,BOL,BOL-ADM3-33444609B32418048,Yamparáez,ADM3
203,5.74364783938,18.3262426675,299.007942321,ADM3,203,203,BOL,BOL-ADM3-33444609B38412786,Tomina,ADM3
204,5.27336542158,20.7261350565,295.390655236,ADM3,204,204,BOL,BOL-ADM3-33444609B72440734,Ocurí,ADM3
205,5.67267949377,20.2802815497,297.609761273,ADM3,205,205,BOL,BOL-ADM3-33444609B73936756,Tarabuco,ADM3
206,5.30478040477,18.9942173817,298.109073238,ADM3,206,206,BOL,BOL-ADM3-33444609B5472183,Zudañez,ADM3
207,5.1563403425,24.6003467483,289.109943532,ADM3,207,207,BOL,BOL-ADM3-33444609B88989469,Curva,ADM3
208,6.6362432239,23.5092987636,288.895776434,ADM3,208,208,BOL,BOL-ADM3-33444609B30997278,Pelechuco,ADM3
209,11.1724888397,35.1706136274,297.232791528,ADM3,209,209,BOL,BOL-ADM3-33444609B83015549,Palos Blancos,ADM3
210,8.8196108917,31.6579408778,295.870251854,ADM3,210,210,BOL,BOL-ADM3-33444609B25123274,Apolo,ADM3
211,13.1364301426,35.853797484,299.86212726,ADM3,211,211,BOL,BOL-ADM3-33444609B4331330,Puerto Menor de Rurrenabaque,ADM3
