esaLandCover2012_grassland,esaLandCover2012_count,esaLandCover2012_sparse_vegetation,esaLandCover2012_bare_areas,esaLandCover2012_shrubland,esaLandCover2012_no_data,esaLandCover2012_rainfed_cropland,esaLandCover2012_water_bodies,esaLandCover2012_forest,esaLandCover2012_wetland,esaLandCover2012_mosaic_cropland,esaLandCover2012_irrigated_cropland,esaLandCover2012_snow_ice,esaLandCover2012_urban,esaLandCover2013_grassland,esaLandCover2013_count,esaLandCover2013_sparse_vegetation,esaLandCover2013_bare_areas,esaLandCover2013_shrubland,esaLandCover2013_no_data,esaLandCover2013_rainfed_cropland,esaLandCover2013_water_bodies,esaLandCover2013_forest,esaLandCover2013_wetland,esaLandCover2013_mosaic_cropland,esaLandCover2013_irrigated_cropland,esaLandCover2013_snow_ice,esaLandCover2013_urban,esaLandCover2014_grassland,esaLandCover2014_count,esaLandCover2014_sparse_vegetation,esaLandCover2014_bare_areas,esaLandCover2014_shrubland,esaLandCover2014_no_data,esaLandCover2014_rainfed_cropland,esaLandCover2014_water_bodies,esaLandCover2014_forest,esaLandCover2014_wetland,esaLandCover2014_mosaic_cropland,esaLandCover2014_irrigated_cropland,esaLandCover2014_snow_ice,esaLandCover2014_urban,esaLandCover2015_grassland,esaLandCover2015_count,esaLandCover2015_sparse_vegetation,esaLandCover2015_bare_areas,esaLandCover2015_shrubland,esaLandCover2015_no_data,esaLandCover2015_rainfed_cropland,esaLandCover2015_water_bodies,esaLandCover2015_forest,esaLandCover2015_wetland,esaLandCover2015_mosaic_cropland,esaLandCover2015_irrigated_cropland,esaLandCover2015_snow_ice,esaLandCover2015_urban,esaLandCover2016_grassland,esaLandCover2016_count,esaLandCover2016_sparse_vegetation,esaLandCover2016_bare_areas,esaLandCover2016_shrubland,esaLandCover2016_no_data,esaLandCover2016_rainfed_cropland,esaLandCover2016_water_bodies,esaLandCover2016_forest,esaLandCover2016_wetland,esaLandCover2016_mosaic_cropland,esaLandCover2016_irrigated_cropland,esaLandCover2016_snow_ice,esaLandCover2016_urban,id
620,802,86,0,6,0,83,0,0,0,7,0,0,0,620,802,86,0,6,0,83,0,0,0,7,0,0,0,620,802,86,0,6,0,83,0,0,0,7,0,0,0,620,802,86,0,6,0,83,0,0,0,7,0,0,0,620,802,86,0,6,0,83,0,0,0,7,0,0,0,122
183,222,0,17,2,0,19,0,0,0,1,0,0,0,183,222,0,17,2,0,19,0,0,0,1,0,0,0,183,222,0,17,2,0,19,0,0,0,1,0,0,0,183,222,0,17,2,0,19,0,0,0,1,0,0,0,183,222,0,17,2,0,19,0,0,0,1,0,0,0,123
224,615,0,342,0,0,8,0,0,0,25,0,0,16,224,615,0,342,0,0,8,0,0,0,25,0,0,16,223,615,0,342,0,0,7,0,0,0,25,0,0,18,222,615,0,341,0,0,7,0,0,0,25,0,0,20,222,615,0,341,0,0,7,0,0,0,25,0,0,20,124
1861,6484,2745,243,1282,0,72,0,280,0,1,0,0,0,1861,6484,2745,243,1282,0,72,0,280,0,1,0,0,0,2018,6484,2669,162,1282,0,72,0,280,0,1,0,0,0,2018,6484,2669,162,1282,0,72,0,280,0,1,0,0,0,1965,6484,2722,162,1282,0,72,0,280,0,1,0,0,0,125
48,11557,339,8707,1036,0,86,1076,7,127,131,0,0,0,48,11557,339,8707,1036,0,86,1076,7,127,131,0,0,0,48,11557,339,8707,1036,0,86,1076,7,127,131,0,0,0,48,11557,339,8707,1036,0,86,1076,7,127,131,0,0,0,48,11557,339,8707,1036,0,86,1076,7,127,131,0,0,0,126
1442,33833,992,28433,324,0,67,2351,15,52,146,0,0,11,1437,33833,992,28438,324,0,67,2351,15,52,146,0,0,11,1438,33833,992,28437,324,0,67,2351,15,52,146,0,0,11,1438,33833,992,28436,324,0,67,2351,15,52,146,0,0,12,1429,33833,984,28463,324,0,67,2341,15,52,146,0,0,12,127
2510,3312,59,43,335,0,80,0,226,7,6,0,0,46,2493,3312,59,43,349,0,80,0,226,7,6,0,0,49,2493,3312,59,43,349,0,80,0,226,7,6,0,0,49,2493,3312,59,43,349,0,80,0,226,7,6,0,0,49,2499,3312,59,43,343,0,80,0,226,7,6,0,0,49,128
1551,16158,9077,3281,2005,0,62,2,140,0,40,0,0,0,1538,16158,9090,3281,2005,0,62,2,140,0,40,0,0,0,1521,16158,9118,3270,2005,0,62,2,140,0,40,0,0,0,1521,16158,9118,3270,2005,0,62,2,140,0,40,0,0,0,1444,16158,9233,3232,2005,0,62,2,140,0,40,0,0,0,129
522,1168,83,149,90,0,12,0,0,0,312,0,0,0,522,1168,83,149,90,0,12,0,0,0,312,0,0,0,560,1168,45,149,90,0,12,0,0,0,312,0,0,0,560,1168,45,149,90,0,12,0,0,0,312,0,0,0,560,1168,45,143,90,0,12,0,0,0,318,0,0,0,130
483,787,23,53,47,0,59,25,82,0,0,0,0,15,482,787,23,53,47,0,58,25,82,0,0,0,0,17,482,787,22,53,47,0,58,25,82,0,0,0,0,18,482,787,20,53,47,0,58,25,82,0,0,0,0,20,482,787,20,53,47,0,58,25,82,0,0,0,0,20,131
5,4837,0,0,30,0,38,0,3175,0,1486,0,0,103,5,4837,0,0,30,0,38,0,3177,0,1484,0,0,103,5,4837,0,0,30,0,38,0,3177,0,1484,0,0,103,5,4837,0,0,30,0,38,0,3177,0,1484,0,0,103,5,4837,0,0,32,0,36,0,3145,0,1516,0,0,103,132
122,4042,869,2922,33,0,29,0,4,0,62,0,0,1,122,4042,869,2922,33,0,29,0,4,0,62,0,0,1,199,4042,811,2903,33,0,29,0,4,0,62,0,0,1,199,4042,811,2903,33,0,29,0,4,0,62,0,0,1,182,4042,828,2903,33,0,29,0,4,0,62,0,0,1,133
3504,13130,3799,5525,29,0,10,80,0,0,183,0,0,0,3664,13130,3763,5401,29,0,10,80,0,0,183,0,0,0,4013,13130,3480,5335,29,0,10,80,0,0,183,0,0,0,4013,13130,3480,5335,29,0,10,80,0,0,183,0,0,0,4006,13130,3487,5335,29,0,10,80,0,0,183,0,0,0,134
