cru_ts_405_pre_yearly_mean.2012.max,cru_ts_405_pre_yearly_mean.2013.max,cru_ts_405_pre_yearly_mean.2014.max,cru_ts_405_pre_yearly_mean.2015.max,cru_ts_405_pre_yearly_mean.2016.max,cru_ts_405_pre_yearly_mean.2017.max,cru_ts_405_pre_yearly_mean.2018.max,cru_ts_405_pre_yearly_mean.2019.max,cru_ts_405_pre_yearly_mean.2020.max,id
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,126
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,127
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,128
43.2750009255,41.6083343228,33.8083335459,35.9999999454,27.7666673809,36.941667527,48.4333344897,31.7416673501,35.9750002387,129
49.541668271,44.0083339214,37.4500010113,36.716667382,35.6166677028,40.7916672428,50.933333983,36.125,37.1166670124,130
61.9083349289,66.1833340128,56.4083346128,56.8750006209,40.5500001113,55.6083343228,74.4083335002,49.1416676839,50.9250007272,131
155.316671054,142.24166886,180.291671435,150.500002225,150.375003298,153.600004435,162.50833257,163.258336211,130.008334239,132
38.0083333434,35.0250008305,27.7166671256,30.2666665167,25.8000005068,31.883334135,41.016667366,28.191667517,31.458333681,133
39.4166672528,33.8416674932,27.7250004709,27.750000642,30.2749998296,31.6916674823,39.3833343188,29.2000002544,32.0500007967,134
67.7833333214,70.7583350738,63.2416671515,61.4166685939,46.1666672428,59.6416689952,78.5833342473,52.0750008623,57.59166797,135
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,136
