cru_ts_405_pre_yearly_mean.2012.min,cru_ts_405_pre_yearly_mean.2013.min,cru_ts_405_pre_yearly_mean.2014.min,cru_ts_405_pre_yearly_mean.2015.min,cru_ts_405_pre_yearly_mean.2016.min,cru_ts_405_pre_yearly_mean.2017.min,cru_ts_405_pre_yearly_mean.2018.min,cru_ts_405_pre_yearly_mean.2019.min,cru_ts_405_pre_yearly_mean.2020.min,id
52.0333339274,50.4166680078,51.7333341837,44.566667676,35.4000008752,44.525000453,56.0333336592,40.791667521,38.9916677972,52
52.0333339274,50.4166680078,51.650000761,44.566667676,35.0249999265,44.525000453,56.0333336592,40.5333341422,38.1666668852,53
78.1916673382,82.2666680813,81.3166670799,73.1500008901,58.5166680018,70.4500010808,89.0916692416,63.766667972,65.6250012716,54
72.0250012676,71.5833346844,76.4583349228,66.5250002543,57.5333340565,65.4416683515,71.7500005563,61.7333345016,56.0333349705,55
132.31667153,152.183336417,138.116669019,130.775001208,105.316668034,132.65833505,165.10000356,120.183337688,115.975002448,56
126.900004148,139.808334629,144.683336099,110.024999936,102.441668232,117.900003503,145.233334293,106.441667219,112.533334732,57
113.558334986,114.175002416,120.158335686,99.0083343188,84.8750025034,96.5333346526,119.491669814,80.9666680495,92.4500015577,58
70.6166679462,72.2750005722,63.1416673263,62.5250018835,49.9083343248,64.933333834,84.5250011285,58.7000007158,59.8166673283,59
46.2333347959,43.5833338896,35.9083344986,36.3250011529,31.1333332658,39.783333838,51.4166675806,35.1916667304,38.3666671279,60
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,61
53.8750019471,52.100001057,46.916667968,45.4250007172,40.4416667422,48.4000010093,61.1500009298,43.3250010808,44.475000682,62
31.4083337697,28.7833338529,23.3916668743,23.5583336633,18.1750004503,25.3583337447,32.7833338032,21.6416669389,24.0416668653,63
23.2000003283,20.0250004133,12.8083334267,15.4416666888,15.2583338022,15.8583335479,20.6666669759,14.7166668276,17.9250003857,64
32.5416668815,30.5916669667,24.4583340784,27.6833337943,18.7000004599,25.4750001132,36.1833342196,23.7750004654,24.4500004003,65
11.5500004453,9.13333352407,3.08333336314,8.05833339691,9.72500052055,7.04166680574,9.32500010729,7.25833324591,9.82499998808,66
10.4500002873,8.65833349278,2.99166668455,6.84999997914,7.47500012815,6.43333352606,8.24166674415,6.42500011126,8.11666693787,67
