,map_pf_incidence_rate.2012.max,map_pf_incidence_rate.2013.max,map_pf_incidence_rate.2014.max,map_pf_incidence_rate.2015.max,map_pf_incidence_rate.2016.max,map_pf_incidence_rate.2017.max,map_pf_incidence_rate.2018.max,map_pf_incidence_rate.2019.max,id
131,3.85e-07,1.33e-05,3.53e-07,5.46e-09,2.92e-10,2.12e-10,0.0,9.07e-10,131
132,0.000502013,0.001554022,0.000238258,2.46e-05,1.75e-06,1.82e-06,0.0,6.91e-06,132
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134
135,1.85e-06,3.53e-05,1.12e-06,1.88e-08,1.18e-09,8.58e-10,0.0,3.35e-09,135
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139
140,2.17e-07,7.4e-06,2.22e-07,5.2e-09,3.04e-10,2.14e-10,0.0,7.62e-10,140
141,3.3e-07,1.26e-05,5e-07,1.86e-08,1.16e-09,8.25e-10,0.0,2.97e-09,141
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145
146,0.000642677,0.003495405,0.00103701,0.000189327,1.86e-05,1.55e-05,0.0,5.14e-05,146
147,0.001093581,0.005272332,0.001477932,0.00022095,1.98e-05,1.62e-05,0.0,5.49e-05,147
148,0.00745641,0.016655631,0.012738349,0.008577035,0.001439832,0.001289094,0.0,0.003774455,148
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152
153,3.28e-07,5.96e-06,0.0,0.0,0.0,0.0,0.0,0.0,153
154,2.63e-05,0.000138686,0.0,0.0,0.0,0.0,0.0,0.0,154
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156
